YEAR ,UK,CORNWALL ,DEVON,HAMPSHIRE,KENT,CEREDIGION,NORFOLK ,WEST LANCASHIRE ,NORTHUMBERLAND ,ARGYLL,HIGHLAND,,,,,,,,,,,,,,,,
1991,57438658,471549,658526,1178711,1285798,65933,754319,109053,305521,93520,203790,,,,,,,,,,,,,,,,
1992,57584530,473042,662617,1183765,1285235,67536,757659,109254,306086,91680,205670,,,,,,,,,,,,,,,,
1993,57713889,474736,665394,1188187,1285806,68854,759523,108948,306129,91170,206740,,,,,,,,,,,,,,,,
1994,57862145,477402,670558,1196481,1290099,69937,762389,109029,306545,91910,207380,,,,,,,,,,,,,,,,
1995,58024799,480320,673075,1203112,1293738,70818,765596,108720,305931,91950,208220,,,,,,,,,,,,,,,,
1996,58164374,480880,675534,1210391,1297663,70609,769295,108028,305804,91740,208650,,,,,,,,,,,,,,,,
1997,58314249,485114,681358,1217815,1303105,71807,774473,107949,306756,91720,208560,,,,,,,,,,,,,,,,
1998,58474943,488031,687448,1223022,1306723,72518,780863,109125,307241,91670,208850,,,,,,,,,,,,,,,,
1999,58684427,492588,692295,1232819,1316720,74046,786454,107861,307490,91640,209200,,,,,,,,,,,,,,,,
2000,58886065,497473,700886,1236408,1324679,74942,793509,108071,307348,91050,209130,,,,,,,,,,,,,,,,
2001,59113497,502077,705568,1241431,1331194,75417,798618,108480,307363,91306,208914,,,,,,,,,,,,,,,,
2002,59318779,507721,709570,1244922,1337789,75590,804702,108878,307969,91020,209760,,,,,,,,,,,,,,,,
2003,59552182,512486,714609,1249636,1346497,75476,811729,109551,308537,90930,211640,,,,,,,,,,,,,,,,
2004,59841892,515981,721440,1250269,1357413,75743,817547,109984,308999,90580,214560,,,,,,,,,,,,,,,,
2005,60235498,520018,728645,1256112,1368867,75574,824350,110270,309392,90350,218060,,,,,,,,,,,,,,,,
2006,60584338,523865,735716,1263019,1378886,75747,830482,110475,309264,90870,220780,,,,,,,,,,,,,,,,
2007,60985677,528604,743581,1274167,1389964,76429,838008,110693,310241,90790,224000,,,,,,,,,,,,,,,,
2008,61398226,529205,746814,1283620,1401665,76812,847347,110448,310938,89910,226980,,,,,,,,,,,,,,,,
2009,61791956,533284,747418,1289366,1411068,76400,853368,110244,311076,89450,228750,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1250269,,,,,,,,,,,,,,,,,,,,,,,,,