,Year,Balaenoptera musculus,Balaenoptera physalus,Megaptera novaeangliae,Balaenoptera borealis,Physeter macrocephalus,Others,Eubalaena glacialis,Hyperoodon ampullatus,Balaenoptera acutorostrata
1,1910,21,381,11,190,6,115,9,1,0
2,1911,25,537,5,134,19,340,0,2,0
3,1912,12,292,0,108,8,59,0,3,0
4,1913,35,462,8,181,22,11,2,9,0
5,1914,34,344,2,248,0,89,5,0,0
6,1915,37,251,0,0,0,152,0,0,0
7,1916,3,77,0,6,1,0,0,1,0
8,1917,0,0,0,0,0,0,0,0,0
9,1918,3,605,1,154,0,0,0,0,0
10,1919,0,477,3,305,0,0,0,0,0
11,1920,66,557,1,435,12,0,1,1,0
12,1921,1,37,0,85,0,0,0,0,0
13,1922,29,399,0,143,3,0,0,0,0
14,1923,25,459,0,347,0,0,2,0,0
15,1924,67,773,1,188,14,0,0,0,0
16,1925,39,641,0,266,13,0,0,0,0
17,1926,36,776,3,209,6,0,0,0,0
18,1927,4,620,0,154,16,0,0,0,0
19,1928,10,566,2,168,12,0,0,0,0
20,1929,6,221,2,125,5,0,0,0,0
21,1930,64,681,54,61,5,0,0,0,28
22,1931,52,456,39,8,0,0,0,0,0
23,1932,61,633,10,83,6,0,4,0,0
24,1933,50,746,8,22,50,0,0,0,0
25,1934,0,260,3,172,4,0,0,0,0
26,1935,3,131,0,109,4,6,0,0,0
27,1936,9,219,0,155,24,9,0,0,0
28,1937,10,279,1,55,41,35,0,0,0
29,1938,11,374,0,99,29,27,0,0,0
30,1939,17,391,2,49,18,3,0,0,0
31,1940,0,0,0,0,0,0,0,0,0
32,1941,1,6,0,49,5,0,0,0,0
33,1942,1,58,1,48,2,0,0,0,0
34,1943,0,110,2,45,6,0,0,0,0
35,1944,0,112,0,31,4,0,0,0,0
36,1945,3,158,0,27,4,0,0,0,0
37,1946,17,392,0,11,21,0,0,0,0
38,1947,11,285,0,12,16,0,0,0,0
39,1948,2,260,0,35,47,0,0,0,0
40,1949,4,342,1,6,20,0,0,1,0
41,1950,33,601,8,3,90,0,0,0,0
42,1951,19,646,6,16,90,0,0,0,0
43,1952,15,598,2,49,53,0,0,0,0
44,1953,12,482,6,118,92,0,0,0,2
45,1954,11,447,7,113,148,0,0,0,0
46,1955,11,446,1,140,64,0,0,0,0
47,1956,0,397,0,88,153,0,0,0,0
48,1957,10,487,0,79,111,0,0,0,0
49,1958,5,412,0,97,215,0,0,0,1
50,1959,6,358,0,71,151,0,0,0,0
51,1960,0,288,0,44,261,0,0,0,0
52,1961,0,304,0,64,238,0,0,0,0
53,1962,1,448,0,47,227,0,0,0,0
54,1963,0,325,0,20,243,0,0,0,0
55,1964,1,255,0,89,187,0,0,0,0
56,1965,0,394,0,74,97,0,0,0,0
57,1966,0,364,0,42,122,0,0,0,0
58,1967,0,273,0,48,141,0,0,0,0
59,1968,0,278,0,3,76,0,0,0,0
60,1969,0,267,0,70,114,0,0,0,0
61,1970,0,316,0,44,112,0,0,0,0
62,1971,0,245,0,240,168,0,0,0,0
63,1972,0,238,0,132,76,0,0,0,0
64,1973,0,267,0,139,47,0,0,0,0
65,1974,0,285,0,9,71,0,0,0,0
66,1975,0,245,0,138,37,0,0,0,0
67,1976,0,275,0,3,111,0,0,0,0
68,1977,0,144,0,132,110,0,0,0,0
69,1978,0,236,0,14,141,0,0,0,0
70,1979,0,260,0,84,96,0,0,0,0
71,1980,0,236,0,100,101,0,0,0,0
72,1981,0,254,0,100,43,0,0,0,0
73,1982,0,194,0,71,87,0,0,0,0
74,1983,0,144,0,100,0,0,0,0,0
75,1984,0,167,0,95,0,0,0,0,0
76,1985,0,161,0,38,0,0,0,0,916
77,1986,0,76,0,40,0,0,0,0,339
78,1987,0,80,0,20,0,0,0,0,375
79,1988,0,68,0,10,0,0,0,0,29
80,1989,0,68,0,0,0,0,0,0,17
81,1990,0,0,0,0,0,0,0,0,5
82,1991,0,0,0,0,0,0,0,0,1
83,1992,0,0,0,0,0,0,0,0,95
84,1993,0,0,0,0,0,0,0,0,226
85,1994,0,0,0,0,0,0,0,0,280
86,1995,0,0,0,0,0,0,0,0,218
87,1996,0,0,0,0,0,0,0,0,388
88,1997,0,0,0,0,0,0,0,0,503
89,1998,0,0,0,0,0,0,0,0,625
90,1999,0,0,0,0,0,0,0,0,591
91,2000,0,0,0,0,0,0,0,0,487
92,2001,0,0,0,0,0,0,0,0,552
93,2002,0,0,0,0,0,0,0,0,634
94,2003,0,0,0,0,0,0,0,0,647
95,2004,0,0,0,0,0,0,0,0,569
96,2005,0,0,0,0,0,0,0,0,678
97,2006,0,0,0,0,0,0,0,0,606
98,2007,0,0,0,0,0,0,0,0,642
99,2008,0,0,0,0,0,0,0,0,574
100,2009,0,125,0,0,0,0,0,0,565
101,2010,0,148,0,0,0,0,0,0,528
102,2011,0,0,0,0,0,0,0,0,591
103,2012,0,0,0,0,0,0,0,0,516
104,2013,0,134,0,0,0,0,0,0,629
105,2014,0,137,0,0,0,0,0,0,760
106,2015,0,155,0,0,0,0,0,0,689