Year ,Annual catches (1000 tonnes) 
1913,1269228
1914,1012054
1915,479005
1916,450375
1917,431012
1918,477451
1919,902817
1920,1128096
1921,887929
1922,971780
1923,943346
1924,1132373
1925,1082314
1926,1067454
1927,1102166
1928,1070643
1929,1096946
1930,1128255
1931,1027302
1932,1028382
1933,988844
1934,982223
1935,1045075
1936,1093600
1937,1145921
1938,1100533
1939,837624
1940,355990
1941,291448
1942,350998
1943,357151
1944,372674
1945,549200
1946,969345
1947,1064034
1948,1106500
1949,1018847
1950,3239581
1951,3751455
1952,3750973
1953,3537298
1954,4013984
1955,3922987
1956,4290075
1957,3880776
1958,3579695
1959,3867007
1960,3754916
1961,3774651
1962,3674325
1963,3863729
1964,4267410
1965,5040274
1966,5468348
1967,5720830
1968,5263270
1969,5027556
1970,5584736
1971,5469126
1972,5572214
1973,5654650
1974,5213285
1975,5187494
1976,6115658
1977,5957015
1978,5180763
1979,5168201
1980,4936222
1981,5102573
1982,5236594
1983,5435654
1984,5130951
1985,4833538
1986,4321293
1987,4425483
1988,4426605
1989,4305919
1990,4002533
1991,4387692
1992,5949013
1993,5921915
1994,5779659
1995,6251248
1996,6203264
1997,6492707
1998,6493550
1999,6152814
2000,6201692
2001,6270158
2002,6110857
2003,5767358
2004,5719771
2005,5633148
2006,5382208
2007,5404588
2008,5267260
2009,5438681
2010,5679275
2011,2623209
2012,3036116
2013,3168722
2014,3763127
2015,3360212