,year,year_max
1,1913,15.03372233
2,1914,15.63883877
3,1915,15.82381909
4,1916,15.37005172
5,1917,15.14409004
6,1918,15.46603196
7,1919,15.23139695
8,1920,14.64098624
9,1921,15.21853352
10,1922,14.28387839
11,1923,14.56817082
12,1924,14.87597833
13,1925,15.41309275
14,1926,15.76628235
15,1927,15.50775862
16,1928,15.20910597
17,1929,15.20662648
18,1930,15.16363089
19,1931,14.69370753
20,1932,16.08875384
21,1933,16.40238115
22,1934,15.66733258
23,1935,15.75555686
24,1936,15.47827108
25,1937,16.28212261
26,1938,15.73152256
27,1939,16.33464616
28,1940,15.59429564
29,1941,15.28877006
30,1942,15.03338153
31,1943,15.50453479
32,1944,16.57586581
33,1945,15.9645631
34,1946,15.19856405
35,1947,16.3924677
36,1948,15.27000577
37,1949,16.4092021
38,1950,15.94819008
39,1951,15.30490432
40,1952,15.76622248
41,1953,15.68632133
42,1954,14.58520024
43,1955,16.75255517
44,1956,14.52117137
45,1957,15.67376832
46,1958,15.3680174
47,1959,16.53409617
48,1960,15.65217931
49,1961,15.03087745
50,1962,14.33978387
51,1963,14.94277368
52,1964,15.14424998
53,1965,14.8142566
54,1966,15.31595182
55,1967,15.77288144
56,1968,15.81184271
57,1969,16.24988897
58,1970,15.17286587
59,1971,15.59903996
60,1972,15.09533943
61,1973,15.49642147
62,1974,15.51912764
63,1975,16.67160654
64,1976,16.82204621
65,1977,15.3215535
66,1978,14.98137924
67,1979,14.82928964
68,1980,15.3428263
69,1981,15.58550065
70,1982,15.95754113
71,1983,16.33892638
72,1984,16.29723597
73,1985,14.78017146
74,1986,14.68505601
75,1987,15.22439037
76,1988,15.06673915
77,1989,16.11879539
78,1990,16.36876195
79,1991,16.04386364
80,1992,15.8248182
81,1993,15.23285512
82,1994,16.46092531
83,1995,17.52137116
84,1996,16.02277415
85,1997,17.53509331
86,1998,15.69421646
87,1999,16.69150298
88,2000,16.22715589
89,2001,16.57004697
90,2002,17.16276325
91,2003,17.72190183
92,2004,17.15299688
93,2005,15.97072969
94,2006,17.23412704
95,2007,16.18320322
96,2008,16.35367632
97,2009,16.60378695
98,2010,16.28763097
99,2011,15.66923761
100,2012,16.40154375
101,2013,16.60634191
102,2014,16.82002572
103,2015,15.90686342